NAME	URL	HOMEPAGE	DESCRIPTION	CREATED_AT
vsoch/ngs_containers	https://github.com/vsoch/ngs_containers		set of singularity containers for NGS pipelines	2018-04-06T17:00:34Z
vsoch/nidm-api	https://github.com/vsoch/nidm-api		A restful api and client for NIDM	2015-10-24T21:44:19Z
vsoch/nidm-neo4j	https://github.com/vsoch/nidm-neo4j		Testing viewing of NIDM-Results with Neo4j Graph	2015-10-13T01:06:29Z
vsoch/nidm-query	https://github.com/vsoch/nidm-query		A repository of NIDM queries	2015-10-24T21:35:02Z
vsoch/nidmviewer	https://github.com/vsoch/nidmviewer	http://vsoch.github.io/nidmviewer/	NIDM Results Viewer	2015-10-10T23:35:32Z
vsoch/nifti-drop	https://github.com/vsoch/nifti-drop	http://vsoch.github.io/nifti-drop	a playground for visualizing and working with nifti images without a server	2015-09-13T00:52:40Z
vsoch/nifti-image	https://github.com/vsoch/nifti-image		polymer element for working with nifti in the browser	2015-11-20T21:03:05Z
vsoch/niindex	https://github.com/vsoch/niindex	https://vsoch.github.io/niindex/	brain image directory browsing	2015-08-28T19:53:21Z
vsoch/nipy	https://github.com/vsoch/nipy		nipy site redesign	2015-07-26T17:11:46Z
vsoch/nipy-jekyll	https://github.com/vsoch/nipy-jekyll			2015-08-09T22:43:06Z
vsoch/nipy.github.com	https://github.com/vsoch/nipy.github.com	http://nipy.org	Placeholder github project pages	2015-07-25T09:27:33Z
vsoch/nkg	https://github.com/vsoch/nkg		historical NKG Gallery Website (2012) for archive	2018-06-16T13:44:01Z
vsoch/noisecloud	https://github.com/vsoch/noisecloud		feature database for fMRI ICA components	2013-10-04T19:02:30Z
vsoch/noisecloud-www	https://github.com/vsoch/noisecloud-www	https://vsoch.github.io/noisecloud-www/	deprecated web interface for noisecloud (previously wordpress) interface	2019-04-24T17:29:30Z
vsoch/noob-spark	https://github.com/vsoch/noob-spark		learning spark with python	2016-05-01T00:13:21Z
vsoch/notes-jekyll	https://github.com/vsoch/notes-jekyll	https://vsoch.github.io/notes-jekyll/	A jekyll theme optimized for reference management and note taking	2020-11-27T21:37:03Z
vsoch/nsynth2ca	https://github.com/vsoch/nsynth2ca	https://vsoch.github.io/nsynth2ca/	A simple mapping of the neurosynth database terms to the cognitive atlas	2014-09-30T23:04:45Z
vsoch/nu-plugin	https://github.com/vsoch/nu-plugin		GoLang library for creating nushell plugins (under development!)	2019-10-22T19:57:27Z
vsoch/nushell	https://github.com/vsoch/nushell		A modern shell written in Rust	2019-08-25T20:15:00Z
vsoch/nushell-debian	https://github.com/vsoch/nushell-debian		Debian build (based on nushell/nushell) for nu! (under development)	2019-09-30T21:53:47Z
vsoch/nushell-plugin-len	https://github.com/vsoch/nushell-plugin-len		An example ls plugin for nushell using golang	2019-10-14T22:08:58Z
vsoch/nushell-plugin-pokemon	https://github.com/vsoch/nushell-plugin-pokemon		An example plugin for Nushell in Python that catches ascii pokemon	2019-10-18T18:50:23Z
vsoch/nushell-plugin-python	https://github.com/vsoch/nushell-plugin-python		Python module for easy creation of nushell plugins	2019-10-23T19:09:45Z
vsoch/oci-contribution	https://github.com/vsoch/oci-contribution		background and examples for how to contribute to the Open Containers Initiative (OCI)	2019-02-20T19:28:54Z
vsoch/oci-python	https://github.com/vsoch/oci-python	https://vsoch.github.io/oci-python/	Python implementation of Open Containers Initiative (OCI) specifications	2019-10-27T21:45:33Z
vsoch/ohbm	https://github.com/vsoch/ohbm	http://ohbm.readthedocs.io	python api wrapper for the ohbm conference	2016-07-15T00:10:10Z
vsoch/ood-compose	https://github.com/vsoch/ood-compose		Docker compose to bring up Open OnDemand with SLURM, Centos 7	2019-06-25T17:05:05Z
vsoch/open-science-knowledge-base	https://github.com/vsoch/open-science-knowledge-base	https://how-to-open.science/	An annotated collection of practical resources for researchers interested in using open practices.	2018-06-28T17:40:23Z
vsoch/opendrift	https://github.com/vsoch/opendrift		Open source framework for ocean trajectory modelling	2018-06-26T00:24:39Z
vsoch/openldap	https://github.com/vsoch/openldap			2017-10-24T17:40:10Z
vsoch/opensource-art	https://github.com/vsoch/opensource-art	https://vsoch.github.io/opensource-art/	open source, collaborative art generation that combines hand and machine	2018-08-08T18:15:53Z
vsoch/opensource-heartbeat	https://github.com/vsoch/opensource-heartbeat	https://vsoch.github.io/opensource-heartbeat/	Opensource Heartbeat Interface for user @vsoch! Generate your own with https://github.com/rseng/opensource-heartbeat-action	2020-08-19T19:07:52Z
vsoch/opensource-lab	https://github.com/vsoch/opensource-lab	https://vsoch.github.io/opensource-lab/	documentation for my vision of an opensource software development and teaching layer for academic science	2018-11-12T00:53:56Z
vsoch/openyoureyes	https://github.com/vsoch/openyoureyes		my current favorite song :)	2015-12-22T19:11:26Z
vsoch/org	https://github.com/vsoch/org	https://opencontainers.org	Centralized documents and information for the OCI organization and projects	2019-03-21T15:16:53Z
vsoch/os	https://github.com/vsoch/os		having fun trying to create a simple OS	2018-04-30T10:37:16Z
vsoch/os-tutorial	https://github.com/vsoch/os-tutorial		How to create an OS from scratch	2018-05-04T20:38:54Z
vsoch/oscookie	https://github.com/vsoch/oscookie		a toy example of using singularity and singularity python to compare operating systems and software	2017-01-17T02:47:24Z
vsoch/owl2neo	https://github.com/vsoch/owl2neo		Testing converting an owl file to neo4j graph, for visualization purposes	2015-10-28T00:42:33Z
vsoch/pannellum	https://github.com/vsoch/pannellum	https://pannellum.org/	Pannellum is a lightweight, free, and open source panorama viewer for the web.	2019-08-07T13:40:50Z
vsoch/Papaya	https://github.com/vsoch/Papaya		A pure JavaScript medical research image viewer. 	2015-01-04T01:04:58Z
vsoch/particles	https://github.com/vsoch/particles	https://vsoch.github.io/particles/		2018-03-19T00:24:30Z
vsoch/pe-predictive	https://github.com/vsoch/pe-predictive			2016-10-02T20:29:35Z
vsoch/penrose	https://github.com/vsoch/penrose	http://penrose.ink	Create beautiful diagrams just by typing mathematical notation in plain text.	2018-11-22T00:39:12Z
vsoch/penrose.github.io	https://github.com/vsoch/penrose.github.io	https://penrose.github.io	Documentation pages for penrose (under development)	2018-11-27T15:49:35Z
vsoch/pipeline-template	https://github.com/vsoch/pipeline-template		cookiecutter template for encode pipeline (testing)	2018-07-18T11:50:33Z
vsoch/pipelines-metadata	https://github.com/vsoch/pipelines-metadata			2018-07-18T22:21:14Z
vsoch/playground	https://github.com/vsoch/playground		A learning repository for contributors that are new to GitHub (under development)	2020-02-08T18:30:42Z
vsoch/podcasts	https://github.com/vsoch/podcasts	https://jumpingrivers.github.io/podcasts/	A collection of Data Science and Statistics podcasts	2018-08-30T01:00:30Z
vsoch/pokemon	https://github.com/vsoch/pokemon		ascii database of pokemon... in python!	2016-07-24T10:50:57Z
vsoch/pokemon-server	https://github.com/vsoch/pokemon-server		I don't even know.	2017-01-19T12:10:32Z
vsoch/poldracklab-launch	https://github.com/vsoch/poldracklab-launch		a launcher module for slurm jobs on the TACC wrangler cluster	2015-10-03T01:01:33Z
vsoch/PolymerMapsCodelab	https://github.com/vsoch/PolymerMapsCodelab		testing Polymer and material design... web components ftw!	2015-11-19T23:26:29Z
vsoch/PolymerVizCodeLab	https://github.com/vsoch/PolymerVizCodeLab		testing generating data points with canvas on a map (should be extendable to brain images!)	2015-11-20T20:03:05Z
vsoch/post-merge-message	https://github.com/vsoch/post-merge-message		A GitHub action to post a message to the user after a pull request is merged	2019-05-01T17:24:08Z
vsoch/potapov_interpolation	https://github.com/vsoch/potapov_interpolation	http://potapov-interpolation.readthedocs.io/en/latest/	The purpose of this package is to characterize a network of optical components when time delays with feedback are present. 	2016-06-26T00:10:05Z
vsoch/potpourri	https://github.com/vsoch/potpourri	https://vsoch.github.io/potpourri/	a long last graduate school project that amounted to nothing (but had a good name)	2019-04-24T18:56:35Z
vsoch/presentation-template	https://github.com/vsoch/presentation-template		A LaTeX Beamer template for presentations using the Metropolis theme.	2018-10-07T03:37:10Z
vsoch/project-template	https://github.com/vsoch/project-template	https://www.opencontainers.org/	Template Files for New OCI Projects	2019-02-26T18:59:40Z
vsoch/PRoot	https://github.com/vsoch/PRoot	http://proot.me	chroot, mount --bind, and binfmt_misc without privilege/setup	2016-06-10T19:35:35Z
vsoch/prostate	https://github.com/vsoch/prostate		prostate cancer re-ocurrence and survival prediction app for shinyapps.io	2015-10-06T00:54:06Z
vsoch/prostate-docker	https://github.com/vsoch/prostate-docker		Dockerized prostate cancer re-ocurrence and survival prediction app	2016-06-15T22:20:40Z
vsoch/PubBrain	https://github.com/vsoch/PubBrain			2016-06-15T21:56:34Z
vsoch/PUBMEDLib	https://github.com/vsoch/PUBMEDLib		Create Madlibs from Pubmed articles (project from 2014)	2021-01-28T17:13:50Z
vsoch/pull-request-action	https://github.com/vsoch/pull-request-action	https://github.com/marketplace/actions/pull-request-on-branch-push	open a pull request when a branch is pushed or updated	2019-01-31T23:21:34Z
vsoch/pull-request-action-example	https://github.com/vsoch/pull-request-action-example		Example for using the GitHub action for pull requests	2020-02-05T17:03:08Z
vsoch/pull-request-action-test	https://github.com/vsoch/pull-request-action-test		testing repo for pull request action	2019-05-21T08:45:43Z
vsoch/puzzles	https://github.com/vsoch/puzzles		robot puzzle solver, maybe	2018-10-20T23:49:47Z
vsoch/pybraincompare	https://github.com/vsoch/pybraincompare		brain image comparison and visualization methods for python!	2014-12-23T01:04:30Z
vsoch/pyCorr	https://github.com/vsoch/pyCorr	https://vsoch.github.io/pyCorr/	Nifti Template Matching in Python	2011-09-05T16:55:14Z
vsoch/pydeface	https://github.com/vsoch/pydeface		defacing utility for MRI images	2015-12-07T19:10:44Z
vsoch/pydicom	https://github.com/vsoch/pydicom		Read, modify and write DICOM files with python code	2017-07-08T22:40:11Z
vsoch/pynetdicom	https://github.com/vsoch/pynetdicom	 https://pythonhosted.org/pynetdicom/index.html	A pure python library implementing the DICOM network protocol	2017-05-20T22:38:44Z
vsoch/pynetdicom3	https://github.com/vsoch/pynetdicom3		A Python 2.7/3+ implementation of the DICOM networking protocol	2017-05-19T21:30:04Z
vsoch/pyneurovault	https://github.com/vsoch/pyneurovault	http://www.neurovault.org/api-docs	python wrapper for NeuroVault api (in dev)	2015-11-14T20:09:50Z
vsoch/pyout	https://github.com/vsoch/pyout		Terminal styling for structured data	2020-05-12T22:56:21Z
vsoch/pypigraph	https://github.com/vsoch/pypigraph			2016-04-22T23:22:27Z
vsoch/pypop	https://github.com/vsoch/pypop	http://pypop.org	Python for Population Genomics	2017-06-16T00:31:44Z
vsoch/python-api-core	https://github.com/vsoch/python-api-core	https://googleapis.dev/python/google-api-core/latest		2020-08-11T19:04:45Z
vsoch/python-brain-viewer	https://github.com/vsoch/python-brain-viewer	https://vsoch.github.io/python-brain-viewer/	a flask application to dynamically render brain slices	2015-06-18T20:15:23Z
vsoch/qc_pipeline	https://github.com/vsoch/qc_pipeline			2015-11-09T16:56:11Z
vsoch/qme	https://github.com/vsoch/qme	https://vsoch.github.io/qme/	QueueMe is a job queue, manager, and dashboard	2020-05-13T17:33:04Z
vsoch/qt-creator	https://github.com/vsoch/qt-creator		trying to build qt-creator into a Docker container for easy usage.	2018-07-02T23:55:41Z
vsoch/quality-assessment-protocol	https://github.com/vsoch/quality-assessment-protocol		Scripts and documentation for the PCP's protocol for assessing data quality.	2015-11-11T02:18:08Z
vsoch/quality-improvement-example	https://github.com/vsoch/quality-improvement-example	https://vsoch.github.io/quality-improvement-example/quality_improvement.html	quality improvement in R example for Jane	2016-08-05T00:34:03Z
vsoch/quay	https://github.com/vsoch/quay		Build, Store, and Distribute your Applications and Containers	2020-10-12T22:53:07Z
vsoch/quiz	https://github.com/vsoch/quiz	https://gophercises.com	Ex 1 - Run timed quizzes via the command line	2018-02-04T20:43:32Z
vsoch/r-docker-ex	https://github.com/vsoch/r-docker-ex		A simple example of using R with docker	2018-01-22T21:04:26Z
vsoch/rawr	https://github.com/vsoch/rawr		I don't even know.	2016-12-24T07:00:01Z
vsoch/react-pdf-highlighter	https://github.com/vsoch/react-pdf-highlighter	https://agentcooper.github.io/react-pdf-highlighter	Set of React components for PDF annotation	2020-11-26T23:56:21Z
vsoch/regression-wasm	https://github.com/vsoch/regression-wasm	https://vsoch.github.io/regression-wasm/	Testing doing basic regression with web assembly	2019-10-02T16:20:07Z
vsoch/repo2docker	https://github.com/vsoch/repo2docker	https://repo2docker.readthedocs.io	Turn git repositories into Jupyter enabled Docker Images	2018-07-16T07:54:32Z
vsoch/repo2docker-conda	https://github.com/vsoch/repo2docker-conda	https://vsoch.github.io/repo2docker-conda/	a build->test->deploy containershare template for a conda container https://vsoch.github.io/containershare	2018-08-10T04:59:09Z
vsoch/repo2docker-julia	https://github.com/vsoch/repo2docker-julia	https://vsoch.github.io/repo2docker-julia/	build a repo2docker container with jupyter and julia, containershare ready! https://vsoch.github.io/containershare	2018-08-05T14:16:56Z
vsoch/repo2docker-jupyterlab	https://github.com/vsoch/repo2docker-jupyterlab	https://vsoch.github.io/repo2docker-jupyterlab	a build->test->deploy containershare template for a jupyterlab container https://vsoch.github.io/containershare	2018-08-11T11:13:07Z
vsoch/repo2docker-keras	https://github.com/vsoch/repo2docker-keras	https://vsoch.github.io/repo2docker-keras/	a repo2docker image with keras installed along tensorflow	2018-07-23T22:41:54Z
vsoch/repo2docker-r	https://github.com/vsoch/repo2docker-r	https://vsoch.github.io/repo2docker-r/	a template for sharing a repo2docker R container, intended for use with https://vsoch.github.io/containershare	2018-08-10T09:26:44Z
vsoch/repo2docker-share	https://github.com/vsoch/repo2docker-share	https://vsoch.github.io/repo2docker-share	a template for sharing a repo2docker container, intended for use with https://vsoch.github.io/containershare	2018-07-29T19:50:45Z
vsoch/repofish	https://github.com/vsoch/repofish		search github repos for python functions and generate standard data structures for them	2016-03-16T21:07:46Z
vsoch/repofish-visualization	https://github.com/vsoch/repofish-visualization			2016-04-24T01:09:47Z
vsoch/repos-list	https://github.com/vsoch/repos-list		Export a tab separated file of all of your GitHub repos.	2021-01-30T18:55:08Z
vsoch/reproducibility-ci	https://github.com/vsoch/reproducibility-ci			2015-08-15T22:54:17Z
vsoch/resource-explorer	https://github.com/vsoch/resource-explorer	https://vsoch.github.io/resource-explorer/	Select a resource or service based on filtering down criteria	2019-09-11T19:12:37Z
vsoch/resource-saver	https://github.com/vsoch/resource-saver	https://vsoch.github.io/resource-saver/	use service-worker to save temporary images, style sheets and scripts, and links	2016-07-10T23:27:53Z
vsoch/results-watcher	https://github.com/vsoch/results-watcher	https://vsoch.github.io/watchme/watchers/results/#1-the-from-env-task	an example watchme watcher that grabs variables from the environment, and saves to git as a database	2019-05-08T20:17:24Z
vsoch/reverse-inference	https://github.com/vsoch/reverse-inference			2015-09-21T01:17:32Z
vsoch/reverse-inference-ci	https://github.com/vsoch/reverse-inference-ci		perform reverse inference for a query image against NeuroVault images tagged with Cognitive Atlas concepts	2016-01-09T01:53:47Z
vsoch/rize-circle	https://github.com/vsoch/rize-circle		testing building rize (r shiny docker containers)	2019-03-09T02:08:50Z
vsoch/rize-orb	https://github.com/vsoch/rize-orb		a CircleCI orb to use {rize} to build a container with a shiny application	2019-03-09T20:55:29Z
vsoch/rnatoy.scif	https://github.com/vsoch/rnatoy.scif		A proof of concept RNA-Seq pipeline with Nextflow	2017-01-29T04:08:46Z
vsoch/robotname	https://github.com/vsoch/robotname		the robot namer	2018-02-11T17:47:19Z
vsoch/robots	https://github.com/vsoch/robots	https://vsoch.github.io/robots/	I got distracted 10 hours ago, and this is what happened.	2017-08-30T04:45:50Z
vsoch/rstudio-neuro	https://github.com/vsoch/rstudio-neuro		Dockerized rstudio with some statistics and neuro packages!	2018-01-31T21:30:07Z
vsoch/ruishu.github.io	https://github.com/vsoch/ruishu.github.io		My website	2016-12-27T06:44:50Z
vsoch/runc	https://github.com/vsoch/runc	https://www.opencontainers.org/	CLI tool for spawning and running containers according to the OCI specification	2018-02-21T17:26:58Z
vsoch/RunestoneServer	https://github.com/vsoch/RunestoneServer	http://runestoneinteractive.org	Interactive books for computer science	2019-04-26T21:51:56Z
vsoch/runtime-spec	https://github.com/vsoch/runtime-spec	http://www.opencontainers.org	OCI Runtime Specification	2019-02-26T17:01:24Z
vsoch/runtime-tools	https://github.com/vsoch/runtime-tools	https://www.opencontainers.org/	OCI Runtime Tools	2019-02-26T18:36:25Z
vsoch/rustarok	https://github.com/vsoch/rustarok		Multiplayer, fast-paced Moba style game	2019-09-30T21:15:49Z
vsoch/salad	https://github.com/vsoch/salad	https://vsoch.github.io/salad	If you fork this repo... you'll have a salad fork.	2018-01-24T22:28:25Z
vsoch/salted-caramel	https://github.com/vsoch/salted-caramel	https://vsoch.github.io/salted-caramel	The years may pass, as you know where they went, you'll never know bouts of sad, joy, or glory you are never too old for a story!  Happy Birthday, I do wish. to my most favorite of fish.	2016-08-18T20:15:31Z
vsoch/sb-admin-jekyll	https://github.com/vsoch/sb-admin-jekyll	https://vsoch.github.io/sb-admin-jekyll/	Bootstrap 4 theme, sb-admin, Jekyll version	2019-08-09T21:03:10Z
vsoch/SciEngCloud.github.io	https://github.com/vsoch/SciEngCloud.github.io		Cloud Computing for Science and Engineering web site	2017-06-22T19:22:12Z
vsoch/scif	https://github.com/vsoch/scif	https://sci-f.github.io/	scientific filesystem: a filesystem organization for scientific software and metadata	2018-01-01T18:33:03Z
vsoch/scipaper-snakemake-2020	https://github.com/vsoch/scipaper-snakemake-2020		SciPaper project.	2020-09-29T15:11:01Z
vsoch/search	https://github.com/vsoch/search	https://vsoch.github.io/search	a search interface for any user account or organization	2020-02-28T23:26:30Z
vsoch/segvg	https://github.com/vsoch/segvg		Create interactive svg of brain map segmentation	2015-12-29T06:02:58Z
vsoch/selinux	https://github.com/vsoch/selinux	https://www.opencontainers.org/	common selinux implementation	2019-02-26T18:50:59Z
vsoch/semantic-image-comparison	https://github.com/vsoch/semantic-image-comparison	http://vsoch.github.io/semantic-image-comparison-web/	reproducible pipeline to go along with work for semantic-image-comparison	2016-01-02T19:36:52Z
vsoch/semantic-image-comparison-ci	https://github.com/vsoch/semantic-image-comparison-ci		continuous integration to deploy updated version of cognitive atlas concept tree and neurovault images tagged to it	2016-01-06T22:53:43Z
vsoch/semantic-image-comparison-web	https://github.com/vsoch/semantic-image-comparison-web		web interface to view images from neurovault tagged with cognitive atlas concepts	2016-01-06T21:57:29Z
vsoch/sentencespace	https://github.com/vsoch/sentencespace	https://www.robinsloan.com/voyages-in-sentence-space/	Generating gradients, exploring neighborhoods.	2018-03-04T06:52:01Z
vsoch/service-worker	https://github.com/vsoch/service-worker		testing service workers	2016-07-10T20:27:25Z
vsoch/serving	https://github.com/vsoch/serving	https://www.tensorflow.org/serving	A flexible, high-performance serving system for machine learning models	2017-08-08T16:15:32Z
vsoch/sherlock_vep	https://github.com/vsoch/sherlock_vep	https://vsoch.github.io/sherlock_vep/		2018-03-14T21:53:46Z
vsoch/shifter	https://github.com/vsoch/shifter		Shifter - Linux Containers for HPC	2016-04-07T21:02:52Z
vsoch/Shifter-Tutorial	https://github.com/vsoch/Shifter-Tutorial		Collection of tutorials for using Shifter to bring containers to HPC	2018-02-22T17:03:57Z
vsoch/shiny	https://github.com/vsoch/shiny			2016-02-06T21:04:49Z
vsoch/shoes	https://github.com/vsoch/shoes		Let's get some shoes!	2019-04-25T16:20:27Z
vsoch/sh_containers	https://github.com/vsoch/sh_containers		containers and instructions for running interactive notebooks via job submission (slurm)	2018-04-02T17:51:30Z
vsoch/sh_login	https://github.com/vsoch/sh_login	https://vsoch.github.io/sh_login/	simple login wrapper for token entry to web applications	2018-04-03T20:41:49Z
vsoch/sifweb	https://github.com/vsoch/sifweb	https://vsoch.github.io/sifweb	Testing loading a SIF into a browser using Web Assembly (under development)	2019-09-21T18:13:54Z
vsoch/signal-processing	https://github.com/vsoch/signal-processing		A quick matlab demo of signal processing	2012-08-09T21:28:13Z
vsoch/simfish	https://github.com/vsoch/simfish		Fish tank simulator	2018-07-19T04:08:32Z
vsoch/simvascular	https://github.com/vsoch/simvascular		testing Docker (Singularity) container with SimVascular	2018-11-30T20:48:54Z
vsoch/singularity	https://github.com/vsoch/singularity	http://singularity.lbl.gov/	Singularity: Application containers for Linux	2016-10-24T19:48:50Z
vsoch/singularity-builder	https://github.com/vsoch/singularity-builder		packer image configuration for builder images for different platforms	2017-04-13T09:12:15Z
vsoch/singularity-butterfly	https://github.com/vsoch/singularity-butterfly		butterfly server packaged in singularity container	2017-04-02T23:52:50Z
vsoch/singularity-clair	https://github.com/vsoch/singularity-clair		testing running clair with a singularity image	2017-07-23T21:31:51Z
vsoch/singularity-cli	https://github.com/vsoch/singularity-cli	https://singularityhub.github.io/singularity-cli/	streamlined singularity python client (spython) for singularity builders and general use (under development!)	2018-03-11T19:06:53Z
vsoch/singularity-images	https://github.com/vsoch/singularity-images		This is a repository for Singularity container base OS images	2016-06-19T23:27:39Z
vsoch/singularity-learning	https://github.com/vsoch/singularity-learning		testing singularity, learning singularity, run containers without sudo awesome!!	2016-06-07T21:15:50Z
vsoch/singularity-nbconvert	https://github.com/vsoch/singularity-nbconvert		Singularity container with nbconvert for conversion of jupyter notebooks to other formats	2017-10-20T10:55:15Z
vsoch/singularity-nginx	https://github.com/vsoch/singularity-nginx		web application to serve (simple) singularity images	2017-03-17T19:59:22Z
vsoch/singularity-python	https://github.com/vsoch/singularity-python		command line tool for working with singularity hub and singularity containers	2016-12-26T21:30:07Z
vsoch/singularity-scientific-example	https://github.com/vsoch/singularity-scientific-example	https://vsoch.github.io/singularity-scientific-example/results/	example analysis with Singularity Hub and Docker containers run on local HPC and cloud providers	2016-12-01T01:53:51Z
vsoch/singularity-shiny	https://github.com/vsoch/singularity-shiny		a quick shiny server in a Singularity Container. For @griznog!	2018-04-07T00:04:48Z
vsoch/singularity-tools	https://github.com/vsoch/singularity-tools		collection of command line tools for working with Singularity and Docker	2016-06-20T17:24:48Z
vsoch/singularity-web	https://github.com/vsoch/singularity-web		examples of using Singularity containers for web-based products	2016-11-27T21:48:13Z
vsoch/singularityware.github.io	https://github.com/vsoch/singularityware.github.io	https://singularityware.github.io	base documentation site for Singularity software	2017-08-22T01:00:24Z
vsoch/singularity_recipes	https://github.com/vsoch/singularity_recipes			2018-04-13T23:46:06Z
vsoch/slurm-web	https://github.com/vsoch/slurm-web	http://edf-hpc.github.io/slurm-web/	Slurm HPC workload manager web JS dashboard and JSON REST API	2018-09-10T22:58:05Z
vsoch/snakemake	https://github.com/vsoch/snakemake	https://snakemake.readthedocs.io	This is the development home of the workflow management system Snakemake. For general information, see	2019-10-13T16:10:06Z
vsoch/snakemake-wrappers	https://github.com/vsoch/snakemake-wrappers	https://snakemake-wrappers.readthedocs.io	This is the development home of the Snakemake wrapper repository, see	2020-07-30T22:53:05Z
vsoch/snowstorm	https://github.com/vsoch/snowstorm	https://vsoch.github.io/snowstorm/		2018-03-19T00:11:56Z
vsoch/som	https://github.com/vsoch/som	https://vsoch.github.io/som	Stanford open modules for python	2017-01-22T01:40:55Z
vsoch/som-django	https://github.com/vsoch/som-django		A base framework for applications that use the Stanford School of Medicine APIs	2017-03-14T21:35:25Z
vsoch/som-orthanc	https://github.com/vsoch/som-orthanc		A Docker base for running Orthanc for the School of Medicine	2017-06-02T23:49:04Z
vsoch/sorting_stat	https://github.com/vsoch/sorting_stat		A Hogwarts style Twitter account sorter	2018-01-04T04:44:58Z
vsoch/sorting_stat_1	https://github.com/vsoch/sorting_stat_1			2018-01-04T04:26:23Z
vsoch/soylent	https://github.com/vsoch/soylent	https://vsoch.github.io/soylent/	mmmm 	2018-03-19T00:20:19Z
vsoch/spack	https://github.com/vsoch/spack	https://spack.io	A flexible package manager that supports multiple versions, configurations, platforms, and compilers.	2020-12-10T19:48:39Z
vsoch/spark-neo4j	https://github.com/vsoch/spark-neo4j	https://registry.hub.docker.com/u/kbastani/spark-neo4j/	A single docker image that combines Neo4j Mazerunner and Apache Spark GraphX into a powerful all-in-one graph processing engine	2015-12-23T20:10:32Z
vsoch/spec	https://github.com/vsoch/spec	https://ocfl.io	The OCFL Specifications (WIP)	2018-08-30T21:33:29Z
vsoch/specifications	https://github.com/vsoch/specifications		Main bioschemas repository	2018-09-15T16:03:29Z
vsoch/srcc-services	https://github.com/vsoch/srcc-services		potential draft for SRCC services	2018-11-20T20:41:30Z
vsoch/srcc-uservoice	https://github.com/vsoch/srcc-uservoice	https://vsoch.github.io/srcc-uservoice/	python api wrapper for uservoice client for Stanford Research Computing	2016-09-30T22:16:39Z
vsoch/sregistry-cli	https://github.com/vsoch/sregistry-cli	https://singularityhub.github.io/sregistry-cli/	Singularity Global Client for container management	2018-03-29T23:28:37Z
vsoch/sregistry-k8	https://github.com/vsoch/sregistry-k8		learning / testing Kubernetes with kind, why not :)	2019-07-30T16:18:39Z
vsoch/staged-recipes	https://github.com/vsoch/staged-recipes	https://conda-forge.github.io/	A place to submit conda recipes before they become fully fledged conda-forge feedstocks	2018-02-23T06:40:08Z
vsoch/stanford-cpp-library	https://github.com/vsoch/stanford-cpp-library		The Stanford C++ libraries, created by Eric Roberts et al.	2018-10-12T20:07:21Z
vsoch/stats285.github.io	https://github.com/vsoch/stats285.github.io		STATS285 course website	2017-08-02T03:42:59Z
vsoch/svgtools	https://github.com/vsoch/svgtools		tools for generating components for interactive visualizations, from data and images	2016-05-19T16:07:20Z
vsoch/sview-docker	https://github.com/vsoch/sview-docker		testing installation of sview via a docker (singularity on cluster) container	2018-09-10T21:54:44Z
vsoch/swist_fmri_image	https://github.com/vsoch/swist_fmri_image		Singularity image for SwiSt fMRI software environment	2018-05-09T13:38:24Z
vsoch/szICA	https://github.com/vsoch/szICA	https://vsoch.github.io/szICA/	an old ICA analysis from graduate school, also see vsoch/hcICA	2019-04-25T19:09:14Z
vsoch/taskfmri	https://github.com/vsoch/taskfmri		Task fMRI Project	2015-04-17T21:44:25Z
vsoch/ten-simple-rules-dockerfiles	https://github.com/vsoch/ten-simple-rules-dockerfiles		Ten simple rules for using Dockerfiles for reproducible research	2019-10-26T16:19:26Z
vsoch/Tensorflow-singularity-container-with-GPU-support	https://github.com/vsoch/Tensorflow-singularity-container-with-GPU-support		This repository provides a bootstrap definition file to build Tensorflow singularity container with Nvidia GPU support	2016-10-08T23:28:16Z
vsoch/the-list-of-things-that-might-be-cool	https://github.com/vsoch/the-list-of-things-that-might-be-cool		the list of things that might be cool	2018-08-22T15:43:57Z
vsoch/theMAC	https://github.com/vsoch/theMAC	https://vsoch.github.io/theMAC	visualization for the MAC connectivity algorithm	2015-03-04T17:22:03Z
vsoch/theMethodsOntology	https://github.com/vsoch/theMethodsOntology			2014-10-06T21:16:38Z
vsoch/thesis	https://github.com/vsoch/thesis	https://vsoch.github.io/thesis	html generator for a latex (zipped) thesis from Overleaf	2016-07-27T23:43:48Z
vsoch/thesis-web	https://github.com/vsoch/thesis-web		supplementary files and (eventually) web rendering of my graduate thesis	2016-03-30T00:00:56Z
vsoch/tob	https://github.com/vsoch/tob	https://groups.google.com/a/opencontainers.org/forum/#!forum/tob	Technical Oversight Board (TOB)	2019-02-26T18:53:24Z
vsoch/tracerr	https://github.com/vsoch/tracerr		python module for error understanding and management (under development)	2019-03-22T22:15:15Z
vsoch/training-data-analyst	https://github.com/vsoch/training-data-analyst		Labs and demos for courses for GCP Training (http://cloud.google.com/training).	2020-10-21T22:22:30Z
vsoch/traits	https://github.com/vsoch/traits		Database for lists of traits from Cattell and others	2015-07-13T19:36:13Z
vsoch/tributors	https://github.com/vsoch/tributors		Pay tribute to your contributors! A tool to automatically update contributor files.	2020-07-01T21:14:27Z
vsoch/TtoZ	https://github.com/vsoch/TtoZ		Convert T score brain statistical map to Z score map	2015-03-14T19:47:51Z
vsoch/tunel	https://github.com/vsoch/tunel		command line tool for general HPC functions using Singularity containers	2017-04-02T16:51:59Z
